vds,vgs,id,gm,gm_over_id,gm_r0
0.1,1.35,0.000468718,0.000699237,1.49181,0.174506
0.1,1.4,0.000502945,0.000670285,1.33272,0.154579
0.1,1.45,0.000535683,0.000639737,1.19424,0.137486
0.1,1.5,0.000566859,0.000607855,1.07232,0.122631
0.1,1.55,0.000596414,0.00057493,0.963979,0.109582
0.1,1.6,0.000624303,0.000541264,0.86699,0.0980201
0.1,1.65,0.000650496,0.000507152,0.779639,0.0877043
0.1,1.7,0.000674979,0.000472879,0.700583,0.0784473
0.1,1.75,0.000697751,0.000438708,0.628745,0.0701014
0.15,0,5.81313E-13,1.07216E-11,18.4438,7.73985
0.15,0.05,1.65423E-12,3.76835E-11,22.78,7.86449
0.15,0.1,5.42277E-12,1.32415E-10,24.4183,7.99267
0.15,0.15,1.86642E-11,4.65082E-10,24.9184,8.12405
0.15,0.2,6.51483E-11,1.63215E-09,25.0529,8.25778
0.15,0.25,2.28143E-10,5.71903E-09,25.0677,8.39208
0.15,0.3,7.98367E-10,1.99818E-08,25.0284,8.5234
0.15,0.35,2.78488E-09,6.94464E-08,24.937,8.64498
0.15,0.4,9.65231E-09,2.39048E-07,24.7659,8.74489
0.15,0.45,3.30691E-08,8.08954E-07,24.4625,8.80452
0.15,0.5,1.11054E-07,2.66014E-06,23.9534,8.8023
0.15,0.55,3.61171E-07,8.36875E-06,23.1712,8.73566
0.15,0.6,1.12165E-06,2.48088E-05,22.118,8.67172
0.15,0.65,3.28753E-06,6.85858E-05,20.8624,8.76248
0.15,0.7,8.98464E-06,0.000173044,19.26,8.99462
0.15,0.75,2.22603E-05,0.000375725,16.8787,8.70828
0.15,0.8,4.79642E-05,0.000659566,13.7512,7.0575
0.15,0.85,8.79544E-05,0.000928528,10.5569,4.64529
0.15,0.9,0.000139142,0.00110095,7.91238,2.80859
0.15,0.95,0.000196433,0.00117835,5.99874,1.77768
0.15,1,0.000256037,0.0011999,4.68643,1.22359
0.15,1.05,0.00031597,0.00119511,3.78235,0.905564
0.15,1.1,0.000375326,0.00117838,3.13963,0.707102
0.15,1.15,0.000433676,0.00115552,2.66447,0.573676
0.15,1.2,0.000490773,0.00112854,2.29951,0.47831
0.15,1.25,0.000546432,0.00109807,2.00953,0.40671
0.15,1.3,0.000600483,0.00106433,1.77245,0.350805
0.15,1.35,0.000652768,0.00102749,1.57406,0.305774
0.15,1.4,0.000703138,0.000987818,1.40487,0.268594
0.15,1.45,0.000751459,0.000945624,1.25838,0.237286
0.15,1.5,0.000797615,0.000901301,1.13,0.2105
0.15,1.55,0.00084151,0.000855269,1.01635,0.187291
0.15,1.6,0.00088307,0.000807962,0.914947,0.16697
0.15,1.65,0.000922242,0.000759809,0.823871,0.149026
0.15,1.7,0.000958995,0.00071122,0.741631,0.133069
0.15,1.75,0.000993315,0.000662582,0.667041,0.118799
0.2,0,7.02105E-13,1.24615E-11,17.7487,8.71722
0.2,0.05,1.94689E-12,4.36854E-11,22.4386,8.87541
0.2,0.1,6.30918E-12,1.53108E-10,24.2676,9.03885
0.2,0.15,2.15952E-11,5.36373E-10,24.8376,9.20724
0.2,0.2,7.51226E-11,1.87747E-09,24.9921,9.37974
0.2,0.25,2.62322E-10,6.56152E-09,25.0132,9.55442
0.2,0.3,9.15523E-10,2.28657E-08,24.9756,9.7273
0.2,0.35,3.18515E-09,7.92609E-08,24.8845,9.89072
0.2,0.4,1.10106E-08,2.72106E-07,24.713,10.0308
0.2,0.45,3.76221E-08,9.18285E-07,24.4081,10.1256
0.2,0.5,1.25987E-07,3.01027E-06,23.8934,10.1481
