vds,vgs,id,gm,gm_over_id,gm_r0
0,-1.27,-1.63891E-31,0,-0,0
0,-1.28,-3.48013E-32,0,-0,0
0,-1.29,1.00417E-31,0,0,0
0,-1.3,-1.02297E-31,0,-0,0
0,-1.31,4.86121E-32,0,0,0
0,-1.32,-1.36045E-31,0,-0,0
0,-1.33,3.48673E-32,0,0,0
0,-1.34,2.6193E-21,0,0,0
0,-1.35,2.62793E-21,0,0,0
0,-1.36,2.63609E-21,0,0,0
0,-1.37,2.64381E-21,0,0,0
0,-1.38,2.65108E-21,0,0,0
0,-1.39,2.65795E-21,0,0,0
0,-1.4,2.66441E-21,0,0,0
0,-1.41,2.6705E-21,0,0,0
0,-1.42,2.67622E-21,0,0,0
0,-1.43,2.68158E-21,0,0,0
0,-1.44,2.68661E-21,0,0,0
0,-1.45,2.69131E-21,0,0,0
0,-1.46,2.69569E-21,0,0,0
0,-1.47,2.69976E-21,0,0,0
0,-1.48,2.70353E-21,0,0,0
0,-1.49,2.70702E-21,0,0,0
0,-1.5,2.71023E-21,0,0,0
0,-1.51,2.71317E-21,0,0,0
0,-1.52,1.74227E-32,0,0,0
0,-1.53,-9.08709E-32,0,-0,0
0,-1.54,-1.68577E-31,0,-0,0
0,-1.55,1.29387E-31,0,0,0
0,-1.56,1.13752E-31,0,0,0
0,-1.57,1.31299E-31,0,0,0
0,-1.58,-1.63671E-31,0,-0,0
0,-1.59,-7.90784E-32,0,-0,0
0,-1.6,4.01047E-32,0,0,0
0,-1.61,-1.50219E-31,0,-0,0
0,-1.62,4.18344E-32,0,0,0
0,-1.63,-7.49145E-32,0,-0,0
0,-1.64,1.91909E-31,0,0,0
0,-1.65,1.52076E-31,0,0,0
0,-1.66,1.51566E-31,0,0,0
0,-1.67,1.91114E-31,0,0,0
0,-1.68,2.71602E-31,0,0,0
0,-1.69,-2.97305E-31,0,-0,0
0,-1.7,-1.33662E-31,0,-0,0
0,-1.71,-2.7244E-21,0,-0,0
0,-1.72,-2.72295E-21,0,-0,0
0,-1.73,-2.72133E-21,0,-0,0
0,-1.74,-2.71955E-21,0,-0,0
0,-1.75,-2.71762E-21,0,-0,0
0,-1.76,-2.71552E-21,0,-0,0
0,-1.77,-2.71328E-21,0,-0,0
0,-1.78,-2.71088E-21,0,-0,0
0,-1.79,-2.70833E-21,0,-0,0
-0.01,0,1.07969E-14,1.41982E-15,0.131502,0.340779
-0.01,-0.01,1.08524E-14,1.90848E-15,0.175858,0.340776
-0.01,-0.02,1.08524E-14,2.56532E-15,0.236382,0.340773
-0.01,-0.03,1.08802E-14,3.4482E-15,0.316924,0.340769
-0.01,-0.04,1.09357E-14,4.6349E-15,0.423833,0.340765
-0.01,-0.05,1.09635E-14,6.22998E-15,0.56825,0.34076
-0.01,-0.06,1.10467E-14,8.37394E-15,0.758048,0.340754
-0.01,-0.07,1.113E-14,1.12556E-14,1.01129,0.340747
-0.01,-0.08,1.12688E-14,1.51288E-14,1.34254,0.340739
-0.01,-0.09,1.14631E-14,2.03346E-14,1.77392,0.34073
-0.01,-0.1,1.16851E-14,2.73313E-14,2.33899,0.34072
-0.01,-0.11,1.19904E-14,3.67349E-14,3.06369,0.340707
-0.01,-0.12,1.24067E-14,4.93731E-14,3.97954,0.340693
-0.01,-0.13,1.30451E-14,6.63579E-14,5.0868,0.340677
-0.01,-0.14,1.37945E-14,8.91836E-14,6.46515,0.340658
-0.01,-0.15,1.48215E-14,1.19858E-13,8.08676,0.340636
-0.01,-0.16,1.62093E-14,1.61077E-13,9.93734,0.34061
-0.01,-0.17,1.80966E-14,2.16464E-13,11.9615,0.340581
-0.01,-0.18,2.05669E-14,2.90883E-13,14.1433,0.340546
-0.01,-0.19,2.40086E-14,3.9087E-13,16.2804,0.340507
-0.01,-0.2,2.85327E-14,5.25195E-13,18.4067,0.340461
-0.01,-0.21,3.46112E-14,7.05636E-13,20.3875,0.340407
-0.01,-0.22,4.28546E-14,9.48001E-13,22.1213,0.340345
-0.01,-0.23,5.38736E-14,1.2735E-12,23.6387,0.340274
-0.01,-0.24,6.86673E-14,1.71059E-12,24.9112,0.340191
-0.01,-0.25,8.8568E-14,2.29742E-12,25.9396,0.340095
-0.01,-0.26,1.15297E-13,3.08516E-12,26.7585,0.339984
-0.01,-0.27,1.51212E-13,4.14236E-12,27.3943,0.339855
-0.01,-0.28,1.99368E-13,5.56081E-12,27.8922,0.339706
-0.01,-0.29,2.63983E-13,7.46343E-12,28.2723,0.339533
-0.01,-0.3,3.50775E-13,1.00146E-11,28.5499,0.339334
-0.01,-0.31,4.67182E-13,1.3434E-11,28.7555,0.339103
-0.01,-0.32,6.23307E-13,1.80152E-11,28.9026,0.338836
-0.01,-0.33,8.32667E-13,2.41496E-11,29.0027,0.338528
-0.01,-0.34,1.11322E-12,3.23589E-11,29.0678,0.338171
-0.01,-0.35,1.48903E-12,4.33373E-11,29.1043,0.337761
-0.01,-0.36,1.99224E-12,5.8007E-11,29.1165,0.337287
-0.01,-0.37,2.66556E-12,7.75911E-11,29.1087,0.33674
-0.01,-0.38,3.56579E-12,1.03708E-10,29.0843,0.336111
-0.01,-0.39,4.76852E-12,1.38496E-10,29.0438,0.335388
-0.01,-0.4,6.37387E-12,1.84767E-10,28.9881,0.334558
-0.01,-0.41,8.51433E-12,2.46214E-10,28.9176,0.333605
-0.01,-0.42,1.13647E-11,3.27667E-10,28.832,0.332514
-0.01,-0.43,1.51551E-11,4.35413E-10,28.7305,0.331268
-0.01,-0.44,2.01875E-11,5.77603E-10,28.6119,0.329846
-0.01,-0.45,2.68567E-11,7.64746E-10,28.4751,0.328229
-0.01,-0.46,3.56767E-11,1.01031E-09,28.3184,0.326395
-0.01,-0.47,4.73142E-11,1.33143E-09,28.1401,0.32432
-0.01,-0.48,6.26286E-11,1.74975E-09,27.9384,0.321983
-0.01,-0.49,8.27227E-11,2.29237E-09,27.7115,0.31936
-0.01,-0.5,1.09002E-10,2.99294E-09,27.4577,0.31643
-0.01,-0.51,1.43244E-10,3.89271E-09,27.1753,0.313173
-0.01,-0.52,1.87686E-10,5.04181E-09,26.863,0.309573
-0.01,-0.53,2.45111E-10,6.50031E-09,26.5199,0.30562
-0.01,-0.54,3.18959E-10,8.33937E-09,26.1456,0.301306
-0.01,-0.55,4.13442E-10,1.06421E-08,25.7403,0.296635
-0.01,-0.56,5.33665E-10,1.35044E-08,25.305,0.291617
-0.01,-0.57,6.85758E-10,1.70353E-08,24.8416,0.286273
-0.01,-0.58,8.77008E-10,2.13576E-08,24.3528,0.280633
-0.01,-0.59,1.116E-09,2.66079E-08,23.8422,0.274738
-0.01,-0.6,1.41276E-09,3.29374E-08,23.3142,0.268637
-0.01,-0.61,1.7789E-09,4.05125E-08,22.7739,0.26239
-0.01,-0.62,2.22777E-09,4.95164E-08,22.2269,0.256059
-0.01,-0.63,2.77466E-09,6.01521E-08,21.679,0.24971
-0.01,-0.64,3.437E-09,7.26452E-08,21.1362,0.243411
-0.01,-0.65,4.2346E-09,8.725E-08,20.604,0.237225
-0.01,-0.66,5.19E-09,1.04255E-07,20.0877,0.23121
-0.01,-0.67,6.3288E-09,1.23991E-07,19.5915,0.225416
-0.01,-0.68,7.68018E-09,1.4684E-07,19.1193,0.219885
-0.01,-0.69,9.27744E-09,1.73244E-07,18.6737,0.214646
-0.01,-0.7,1.11586E-08,2.03718E-07,18.2565,0.209718
-0.01,-0.71,1.33673E-08,2.38856E-07,17.8686,0.20511
-0.01,-0.72,1.59536E-08,2.79348E-07,17.5101,0.200821
-0.01,-0.73,1.89748E-08,3.25988E-07,17.1801,0.196839
-0.01,-0.74,2.24968E-08,3.79686E-07,16.8773,0.193147
-0.01,-0.75,2.65955E-08,4.41479E-07,16.5998,0.18972
-0.01,-0.76,3.13573E-08,5.12539E-07,16.3451,0.186529
-0.01,-0.77,3.68815E-08,5.94181E-07,16.1105,0.183539
-0.01,-0.78,4.3281E-08,6.87863E-07,15.8929,0.180714
-0.01,-0.79,5.06842E-08,7.95184E-07,15.689,0.178015
-0.01,-0.8,5.92359E-08,9.1787E-07,15.4952,0.175399
-0.01,-0.81,6.90989E-08,1.05775E-06,15.3077,0.172825
-0.01,-0.82,8.04544E-08,1.21671E-06,15.1229,0.17025
-0.01,-0.83,9.35029E-08,1.39664E-06,14.9368,0.167634
-0.01,-0.84,1.08463E-07,1.59935E-06,14.7456,0.164934
-0.01,-0.85,1.25571E-07,1.82649E-06,14.5454,0.162115
-0.01,-0.86,1.45079E-07,2.07937E-06,14.3327,0.159142
-0.01,-0.87,1.67248E-07,2.3589E-06,14.1043,0.155987
-0.01,-0.88,1.92347E-07,2.66541E-06,13.8573,0.152629
-0.01,-0.89,2.20644E-07,2.9985E-06,13.5897,0.149053
-0.01,-0.9,2.52401E-07,3.35698E-06,13.3002,0.145255
-0.01,-0.91,2.87862E-07,3.73879E-06,12.9882,0.141239
-0.01,-0.92,3.27245E-07,4.14098E-06,12.6541,0.137019
-0.01,-0.93,3.70736E-07,4.55975E-06,12.2992,0.132617
-0.01,-0.94,4.1848E-07,4.99065E-06,11.9257,0.128062
-0.01,-0.95,4.70573E-07,5.42869E-06,11.5363,0.123389
-0.01,-0.96,5.27059E-07,5.86858E-06,11.1346,0.118639
-0.01,-0.97,5.87932E-07,6.30503E-06,10.7241,0.11385
-0.01,-0.98,6.5313E-07,6.73293E-06,10.3087,0.109064
-0.01,-0.99,7.22545E-07,7.14763E-06,9.89229,0.104321
-0.01,-1,7.96024E-07,7.54507E-06,9.47844,0.0996537
-0.01,-1.01,8.73377E-07,7.92191E-06,9.07044,0.0950949
-0.01,-1.02,9.54384E-07,8.27561E-06,8.67116,0.0906704
-0.01,-1.03,1.0388E-06,8.60443E-06,8.28301,0.0864011
-0.01,-1.04,1.12638E-06,8.90734E-06,7.90791,0.0823027
-0.01,-1.05,1.21686E-06,9.18402E-06,7.5473,0.0783863
-0.01,-1.06,1.30997E-06,9.4347E-06,7.2022,0.0746585
-0.01,-1.07,1.40547E-06,9.66011E-06,6.87323,0.0711221
-0.01,-1.08,1.50309E-06,9.86129E-06,6.56067,0.0677767
-0.01,-1.09,1.60261E-06,1.00396E-05,6.26451,0.0646194
-0.01,-1.1,1.70381E-06,1.01965E-05,5.98452,0.0616451
-0.01,-1.11,1.80647E-06,1.03336E-05,5.7203,0.0588473
-0.01,-1.12,1.91042E-06,1.04524E-05,5.47129,0.0562183
-0.01,-1.13,2.01546E-06,1.05547E-05,5.23685,0.0537498
-0.01,-1.14,2.12145E-06,1.06418E-05,5.0163,0.0514331
-0.01,-1.15,2.22825E-06,1.07154E-05,4.80889,0.0492593
-0.01,-1.16,2.33572E-06,1.07767E-05,4.61386,0.0472195
-0.01,-1.17,2.44374E-06,1.08269E-05,4.43048,0.045305
-0.01,-1.18,2.55221E-06,1.08673E-05,4.258,0.0435075
-0.01,-1.19,2.66105E-06,1.08989E-05,4.09571,0.0418189
-0.01,-1.2,2.77016E-06,1.09226E-05,3.94294,0.0402317
-0.01,-1.21,2.87947E-06,1.09392E-05,3.79903,0.0387385
-0.01,-1.22,2.98892E-06,1.09495E-05,3.66338,0.0373329
-0.01,-1.23,3.09843E-06,1.09542E-05,3.5354,0.0360083
-0.01,-1.24,3.20797E-06,1.09538E-05,3.41456,0.0347591
-0.01,-1.25,3.31749E-06,1.09489E-05,3.30036,0.0335797
-0.01,-1.26,3.42693E-06,1.09399E-05,3.19234,0.0324651
-0.01,-1.27,3.53627E-06,1.09272E-05,3.09005,0.0314108
-0.01,-1.28,3.64546E-06,1.09112E-05,2.9931,0.0304123
-0.01,-1.29,3.75447E-06,1.08922E-05,2.90113,0.0294659
-0.01,-1.3,3.86328E-06,1.08704E-05,2.81378,0.0285677
-0.01,-1.31,3.97186E-06,1.08461E-05,2.73074,0.0277145
-0.01,-1.32,4.08019E-06,1.08195E-05,2.65172,0.0269032
-0.01,-1.33,4.18823E-06,1.07908E-05,2.57646,0.0261309
-0.01,-1.34,4.29598E-06,1.07601E-05,2.50469,0.025395
-0.01,-1.35,4.40342E-06,1.07276E-05,2.4362,0.0246931
-0.01,-1.36,4.51052E-06,1.06934E-05,2.37077,0.024023
-0.01,-1.37,4.61727E-06,1.06576E-05,2.30821,0.0233826
-0.01,-1.38,4.72366E-06,1.06204E-05,2.24834,0.02277
-0.01,-1.39,4.82966E-06,1.05817E-05,2.19099,0.0221835
-0.01,-1.4,4.93527E-06,1.05417E-05,2.136,0.0216215
-0.01,-1.41,5.04048E-06,1.05005E-05,2.08323,0.0210824
-0.01,-1.42,5.14527E-06,1.04581E-05,2.03256,0.0205649
-0.01,-1.43,5.24963E-06,1.04145E-05,1.98385,0.0200678
-0.01,-1.44,5.35354E-06,1.03698E-05,1.937,0.0195898
-0.01,-1.45,5.45701E-06,1.03241E-05,1.8919,0.0191298
-0.01,-1.46,5.56001E-06,1.02774E-05,1.84845,0.0186869
-0.01,-1.47,5.66254E-06,1.02298E-05,1.80657,0.01826
